Date	Basin_4_MERIS_Chl_a	Basin_3_MERIS_Chl_a	Basin_2_MERIS_Chl_a	Basin_1_MERIS_Chl_a
20030421	4.74134	9.5815115	12.16747	11.657009
20030501	3.5146027	7.5125446	4.9292855	
20030511	-5.9516516	-5.7056117	-4.5370984	7.2947903
20030521	-3.8593004	-5.41235	-1.6752851	1.7316357
20030531	2.116717	3.0167665	0.862057	-0.5960093
20030610	-1.9126763	-5.296479	-4.056022	-1.408112
20030620	0.41636258	7.3614907	2.8926864	11.598582
20030630	-0.8167567	-0.16494323	18.03859	18.209959
20030710	-3.9778073	0.61883193	12.024532	13.342035
20030720	-2.535388	2.1659591	4.4691286	10.445622
20030730	2.1180434	9.871799	9.6318865	19.576447
20030809	1.1743473	23.047264	28.595093	35.445953
20030819	4.729698	33.4845	51.42036	49.943993
20030829				
20030908	22.185806	35.46793	43.053574	30.746069
20030918	14.105041	19.952517	20.716984	15.1007805
20030928	10.101225	16.164085	11.7178135	11.186043
20031008			13.149496	
20031018	9.484961	8.684099	13.972825	11.690237
20031028	7.9110913	7.8399725	10.290436	10.723108
20031107	7.8248625	10.421254	10.322196	10.063634
20031117	7.361191	8.887354	9.004215	9.873251
20031127			8.388944	
20031207	11.968853	11.693632	10.528218	11.225619
20031217	7.043357	10.367461	11.213723	11.639335
20040101			11.64222	
20040111	7.191897	8.982068	9.598921	
20040121	8.971961	10.055899	9.83987	
20040131			9.46327	9.661265
20040210	4.1764035	8.602569	10.196015	11.290391
20040220	5.8539495	8.246072	9.817128	11.095428
20040301	4.354799	8.777844	12.190842	11.682937
20040311	7.727206	10.136027	11.502799	12.303296
20040321	4.4092617	15.756896		
20040331	7.073565	18.563164	28.58005	18.713568
20040410	7.6152315	17.998705	27.336946	17.262144
20040420	5.51708	13.346615	18.407814	18.239296
20040430	0.42676276	6.00429	14.512574	8.794214
20040510	2.5144591	5.118362	4.519047	6.5951014
20040520	0.3223739	2.5102181	4.430408	6.538841
20040530	-1.2228084	0.11745013	3.1492026	6.265061
20040609	-3.386369	3.5084264	-1.7589322	3.031729
20040619	-2.6771727	-0.46882737	0.9365288	0.85248005
20040629	-0.7296468	1.0673957	0.37374315	2.563626
20040709	-4.1054015	-1.4663628	-1.6914327	3.3467479
20040719	7.3425303	8.120751	3.195392	11.065515
20040729	2.5651278	2.068502	6.824237	17.559309
20040808	-1.1510756	-3.1524937	5.254036	24.777039
20040818	1.2745829	2.0209439	14.14674	34.74835
20040828	1.7847685	0.72772795	18.7511	32.924286
20040907	4.5291862	4.825505	23.344501	21.686245
20040917	3.9566321	2.45494	25.986185	19.032778
20040927	4.6550317	4.5115757	14.684078	10.097454
20041007				
20041017	5.1499496	6.8602457	8.935757	9.711409
20041027	7.764666	6.20045	10.784559	10.728765
20041106	5.036626	7.1154647	10.069013	
20041116	7.1145735		9.745144	11.774038
20041126	3.8645382	7.852811	13.307663	12.165295
20041206				
20041216	7.880256	9.250195	15.777953	12.590831
20050101		10.626433	18.493223	14.029344
20050111	9.194051	9.660777	11.542531	11.513921
20050121	5.566094			
20050131	16.28553		10.194754	
20050210				
20050220				
20050302				
20050312		8.641992	9.849004	
20050322	4.7469087	7.8446174	11.14245	10.512627
20050401	5.426135	5.915621	9.134785	18.440079
20050411	2.2313962	5.877896	15.7430315	13.760886
20050421	2.2795455	6.0447054	12.145358	11.066217
20050501	5.217505	4.817772	2.0827856	3.5668583
20050511	-0.7601194	2.6187408	10.847803	8.522136
20050521	1.5683336	4.632126	4.101583	3.6203823
20050531	-4.417839	3.102281	10.031432	9.001407
20050610				
20050620	2.0470228	4.679319	5.019501	4.076382
20050630	-1.8996737	7.960043	7.0092454	7.730795
20050710	-1.6636335	14.92124	13.827818	10.965404
20050720	4.8129215	10.191633	14.259287	13.262735
20050730	6.9005847	24.320114	19.17895	18.84264
20050809	15.066057	24.312502	25.453611	24.288149
20050819	12.396019	25.041233	32.13314	
20050829	8.478037	22.159168	24.74261	26.56663
20050908	9.579459	20.398092	19.90797	22.092588
20050918	14.951177	23.303371	28.164354	26.56285
20050928	14.140157	21.73571	24.263275	23.50625
20051008	10.8935175	15.937571	19.731792	18.276718
20051018	7.6256022	11.408775	14.703338	12.309529
20051028	8.063142	10.54625	14.500826	10.535617
20051107	6.438792			
20051117				9.435165
20051127				
20051207	10.01452	10.122084	10.836372	10.608642
20051217			10.685402	10.577582
20060101	8.554367	9.895592		
20060111	9.485547	9.49685		
20060121	9.156815	9.508609		
20060131				9.679701
20060210				
20060220			6.985955	9.714579
20060302				10.814066
20060312	4.661485	10.415595	21.115953	19.596199
20060322	6.3273053	11.155614	18.06128	18.845865
20060401	10.406644	14.004643	19.691654	19.72501
20060411	6.639922	22.333544		16.089006
20060421	7.283387	9.302535	11.29304	9.091461
20060501	4.958452	9.003379	15.162885	13.550275
20060511	0.2433293	1.7399032	5.0273237	5.2797337
20060521	3.2567625	3.439857	5.1163406	5.955289
20060531	5.355167	8.711798	14.63372	8.977894
20060610	8.457753	10.068676	5.4629564	11.820596
20060620	-0.5897039	-0.8085873	1.1321058	6.7595673
20060630	0.71713746	1.7959367	8.236771	12.211619
20060710	1.4749367	4.570172	9.587761	18.54588
20060720	6.585203	6.5293956	13.277039	29.462782
20060730	-7.290708	-3.746458		
20060809	1.044502	8.766006	35.68897	41.041725
20060819	1.1093831	15.523276	39.128223	39.34905
20060829		25.345753	37.70973	26.099075
20060908	0	0	0	0
20060918	4.397296	26.86283	21.306555	24.55688
